ANGLE;SPEED_X;SPEED_Y;TRACK_-45;TRACK_-20;TRACK_0;TRACK_20;TRACK_45;TRACK_POS;CLASS
0.0659363;53.8373;-0.00829034;9.21397;27.6867;63.6568;19.9081;11.843;0.238825;2;
0.0706736;54.3205;0.0298813;9.29608;27.9235;63.3677;19.8084;11.7824;0.235826;2;
0.0745618;54.8938;0.0688896;9.36694;28.0365;63.4518;19.7409;11.7295;0.232635;2;
0.0786316;55.4152;0.125996;9.43912;28.1663;63.4807;19.6685;11.6755;0.22928;2;
0.0823023;55.9092;0.171142;9.50521;28.2333;63.7002;19.6122;11.6254;0.225751;2;
0.0852558;56.4831;0.245167;9.56055;28.1931;64.2604;19.5843;11.5824;0.222085;2;
0.088164;57.0041;0.307339;9.61327;28.1378;64.8831;19.561;11.541;0.21831;2;
0.0907866;57.5433;0.34006;9.66064;28.0379;65.6812;19.5509;11.503;0.214391;2;
0.09295;58.0632;0.432419;9.69979;27.8705;66.757;19.5613;11.4704;0.210378;2;
0.0945389;58.6362;0.478473;9.72888;27.6238;68.203;19.5977;11.4447;0.206295;2;
0.0959503;59.1812;0.498118;9.75331;27.3532;69.8568;19.6456;11.4222;0.202117;2;
0.0971453;59.6796;0.609738;9.77205;27.0548;71.7691;19.7075;11.4039;0.197893;2;
0.0970179;60.273;0.622516;9.77095;26.6024;74.6596;19.8277;11.3999;0.193645;2;
0.0970938;60.8347;0.652175;9.76945;26.1814;77.7361;19.9486;11.3969;0.189363;2;
0.0971047;61.3571;0.704137;9.76398;25.7604;81.2065;20.0812;11.3976;0.185067;2;
0.0949442;61.988;0.758989;9.72841;25.1251;86.9047;20.3155;11.4223;0.180827;2;
0.0935013;62.4985;0.755828;9.6977;24.5808;92.9012;20.536;11.4451;0.176669;2;
0.0874892;62.9937;0.768778;9.65841;24.0006;100.636;20.7969;11.4767;0.172446;2;
0.0781427;63.683;0.819266;9.59445;23.2941;112.294;21.157;11.532;0.1688;2;
0.0698923;64.205;0.779836;9.53986;22.7105;125.178;21.4889;11.5823;0.165581;1;
0.062811;64.8294;0.191477;9.49786;22.2452;138.901;21.7791;11.6236;0.162508;1;
0.0600532;65.4509;-0.0216649;9.50473;22.1237;144.869;21.8567;11.6196;0.159283;1;
0.0591378;66.0143;-0.04874;9.53129;22.1402;146.7;21.8421;11.5968;0.156063;1;
0.0588208;66.5916;-0.0554492;9.56435;22.2014;147.078;21.7971;11.5676;0.152834;1;
0.0588779;67.2333;-0.034683;9.60159;22.2906;146.522;21.7329;11.5345;0.14959;1;
0.0588625;67.7853;-0.023239;9.63823;22.3749;146.145;21.672;11.5019;0.14633;1;
0.0593673;68.4328;0.0188796;9.68073;22.4989;144.489;21.5849;11.4639;0.143053;1;
0.059268;69.0461;0.00817373;9.71706;22.5783;144.312;21.5273;11.4317;0.139741;1;
0.0598278;69.5678;0.0462139;9.76092;22.7085;142.544;21.4365;11.3926;0.136403;1;
0.0598367;70.288;0.0401993;9.79914;22.7979;142.1;21.3724;11.3587;0.13303;1;
0.0599135;70.8283;0.0325494;9.83856;22.8936;141.491;21.3043;11.3237;0.129618;1;
0.060179;71.4509;0.052643;9.88043;23.0046;140.438;21.2263;11.2865;0.126175;1;
0.0596643;72.1454;0.00695038;9.91407;23.0564;141.21;21.1858;11.2567;0.122691;1;
0.0599127;72.7295;0.0211244;9.9566;23.1682;140.185;21.1074;11.219;0.119175;1;
0.0592668;73.4284;-0.0272253;9.98948;23.2112;141.261;21.0718;11.1898;0.115622;1;
0.0594821;73.9964;-0.00786415;10.0323;23.322;140.299;20.9937;11.1518;0.112045;1;
0.0588458;74.693;-0.0472745;10.0658;23.3668;141.354;20.9565;11.1219;0.108439;1;
0.0588068;75.3002;-0.0359822;10.1064;23.4588;140.985;20.8898;11.0859;0.104811;1;
0.0587357;75.9531;-0.029078;10.1467;23.5488;140.689;20.8242;11.05;0.101164;1;
0.0583927;76.5645;-0.0438949;10.1842;23.6177;141.043;20.7714;11.0166;0.0974964;1;
0.0583182;77.2577;-0.0362878;10.225;23.7084;140.749;20.7051;10.9803;0.0938066;1;
0.0582389;77.8389;-0.0305111;10.2659;23.7991;140.462;20.6387;10.9438;0.0900992;1;
0.0582283;78.0142;-0.021075;10.3077;23.8955;140.008;20.5688;10.9066;0.0863794;1;
0.058224;77.9822;-0.0132848;10.3496;23.9923;139.54;20.4987;10.8693;0.0826675;1;
0.058221;77.9546;-0.00917748;10.3913;24.0889;139.07;20.4287;10.8322;0.0789622;1;
0.0582227;77.9277;-0.00541521;10.4331;24.1859;138.589;20.3586;10.795;0.0752609;1;
0.0582219;77.9;-0.00391763;10.4748;24.2825;138.114;20.2886;10.7579;0.0715633;1;
0.0582217;77.8732;-0.00210986;10.5165;24.3792;137.638;20.2186;10.7208;0.067868;1;
0.0582218;77.8457;-0.00140178;10.5582;24.4757;137.162;20.1487;10.6837;0.0641752;1;
0.0581499;78.1569;-0.00518584;10.599;24.5666;136.854;20.082;10.6473;0.0604773;1;
0.0584359;78.5285;0.0159046;10.6444;24.6872;135.708;19.9985;10.6073;0.0567638;1;
0.0581396;78.9388;-0.00789651;10.6829;24.7605;135.917;19.9415;10.5726;0.0530293;1;
0.0582945;79.302;0.00276577;10.7272;24.8715;135.073;19.8633;10.5335;0.0492761;1;
0.057957;79.7199;-0.018969;10.7656;24.942;135.371;19.8074;10.4988;0.0455054;1;
0.0577013;80.106;-0.0268016;10.8052;25.0195;135.478;19.7474;10.4631;0.0417227;1;
0.0578232;80.4474;-0.00977417;10.8494;25.1287;134.701;19.67;10.4239;0.037932;1;
0.0574175;80.8727;-0.0327717;10.8873;25.1939;135.154;19.6164;10.3895;0.0341286;1;
0.0573524;81.2166;-0.0257602;10.9295;25.2878;134.809;19.5471;10.3518;0.0303171;1;
0.0570847;81.6292;-0.0377602;10.9693;25.3649;134.938;19.4867;10.3159;0.0264965;1;
0.0570022;81.9947;-0.0310412;11.0114;25.4577;134.629;19.4177;10.2782;0.0226669;1;
0.0570145;82.3749;-0.0219599;11.0548;25.5586;134.095;19.3443;10.2395;0.0188305;1;
0.0570001;82.7764;-0.0160815;11.098;25.6577;133.622;19.2719;10.2009;0.0149799;1;
0.0573516;83.1098;0.0174913;11.1459;25.7884;132.299;19.1829;10.1589;0.0111204;1;
0.0574129;83.5753;0.0179505;11.1904;25.8949;131.651;19.1065;10.1194;0.00723953;1;
0.0579313;83.8751;0.05557;11.2409;26.0416;129.969;19.0097;10.0756;0.00333913;1;
0.0577597;84.3759;0.0350709;11.283;26.1292;129.844;18.9428;10.0377;-5.87209E-4;1;
0.0581084;84.665;0.0554633;11.332;26.2629;128.556;18.8527;9.99488;-0.00453809;1;
